financial_year,council_area,sector,main_client_group,percentage_occupancy
2014/15,Orkney Islands,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2014/15,Perth and Kinross,All Sectors,All Adults,80
2014/15,Perth and Kinross,All Sectors,Learning Disabilities,85
2014/15,Perth and Kinross,All Sectors,Mental Health Problems,0
2014/15,Perth and Kinross,All Sectors,Older People Aged 65 and Older,79
2014/15,Perth and Kinross,All Sectors,Other Groups,0
2014/15,Perth and Kinross,All Sectors,Physical and Sensory Impairment,92
2014/15,Perth and Kinross,Local Authority/Health Board Sectors,All Adults,87
2014/15,Perth and Kinross,Local Authority/Health Board Sectors,Older People Aged 65 and Older,87
2014/15,Perth and Kinross,Private Sector,All Adults,78
2014/15,Perth and Kinross,Private Sector,Older People Aged 65 and Older,78
2014/15,Perth and Kinross,Voluntary or Not for Profit Sector,All Adults,89
2014/15,Perth and Kinross,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,86
2014/15,Renfrewshire,All Sectors,All Adults,85
2014/15,Renfrewshire,All Sectors,Learning Disabilities,79
2014/15,Renfrewshire,All Sectors,Mental Health Problems,0
2014/15,Renfrewshire,All Sectors,Older People Aged 65 and Older,85
2014/15,Renfrewshire,All Sectors,Other Groups,0
2014/15,Renfrewshire,All Sectors,Physical and Sensory Impairment,95
2014/15,Renfrewshire,Local Authority/Health Board Sectors,All Adults,71
2014/15,Renfrewshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,69
2014/15,Renfrewshire,Private Sector,All Adults,85
2014/15,Renfrewshire,Private Sector,Older People Aged 65 and Older,86
2014/15,Renfrewshire,Voluntary or Not for Profit Sector,All Adults,92
2014/15,Renfrewshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,92
2014/15,Scotland,All Sectors,All Adults,86
2014/15,Scotland,All Sectors,Learning Disabilities,88
2014/15,Scotland,All Sectors,Mental Health Problems,92
2014/15,Scotland,All Sectors,Older People Aged 65 and Older,86
2014/15,Scotland,All Sectors,Other Groups,75
2014/15,Scotland,All Sectors,Physical and Sensory Impairment,92
2014/15,Scotland,Local Authority/Health Board Sectors,All Adults,84
2014/15,Scotland,Local Authority/Health Board Sectors,Learning Disabilities,84
2014/15,Scotland,Local Authority/Health Board Sectors,Mental Health Problems,0
2014/15,Scotland,Local Authority/Health Board Sectors,Older People Aged 65 and Older,84
2014/15,Scotland,Local Authority/Health Board Sectors,Other Groups,0
2014/15,Scotland,Local Authority/Health Board Sectors,Physical and Sensory Impairment,70
2014/15,Scotland,Private Sector,All Adults,86
2014/15,Scotland,Private Sector,Learning Disabilities,87
2014/15,Scotland,Private Sector,Mental Health Problems,91
2014/15,Scotland,Private Sector,Older People Aged 65 and Older,86
2014/15,Scotland,Private Sector,Other Groups,40
2014/15,Scotland,Private Sector,Physical and Sensory Impairment,99
2014/15,Scotland,Voluntary or Not for Profit Sector,All Adults,90
2014/15,Scotland,Voluntary or Not for Profit Sector,Learning Disabilities,90
2014/15,Scotland,Voluntary or Not for Profit Sector,Mental Health Problems,93
2014/15,Scotland,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,90
2014/15,Scotland,Voluntary or Not for Profit Sector,Other Groups,81
2014/15,Scotland,Voluntary or Not for Profit Sector,Physical and Sensory Impairment,91
2014/15,Scottish Borders,All Sectors,All Adults,84
2014/15,Scottish Borders,All Sectors,Learning Disabilities,93
2014/15,Scottish Borders,All Sectors,Mental Health Problems,0
2014/15,Scottish Borders,All Sectors,Older People Aged 65 and Older,83
2014/15,Scottish Borders,All Sectors,Other Groups,0
2014/15,Scottish Borders,All Sectors,Physical and Sensory Impairment,0
2014/15,Scottish Borders,Local Authority/Health Board Sectors,All Adults,83
2014/15,Scottish Borders,Local Authority/Health Board Sectors,Older People Aged 65 and Older,83
2014/15,Scottish Borders,Private Sector,All Adults,84
2014/15,Scottish Borders,Private Sector,Older People Aged 65 and Older,84
2014/15,Scottish Borders,Voluntary or Not for Profit Sector,All Adults,89
2014/15,Scottish Borders,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,83
2014/15,Shetland Islands,All Sectors,All Adults,89
2014/15,Shetland Islands,All Sectors,Learning Disabilities,67
2014/15,Shetland Islands,All Sectors,Mental Health Problems,0
2014/15,Shetland Islands,All Sectors,Older People Aged 65 and Older,91
2014/15,Shetland Islands,All Sectors,Other Groups,0
2014/15,Shetland Islands,All Sectors,Physical and Sensory Impairment,0
2014/15,Shetland Islands,Local Authority/Health Board Sectors,All Adults,89
2014/15,Shetland Islands,Local Authority/Health Board Sectors,Older People Aged 65 and Older,91
2014/15,Shetland Islands,Private Sector,All Adults,0
2014/15,Shetland Islands,Private Sector,Older People Aged 65 and Older,0
2014/15,Shetland Islands,Voluntary or Not for Profit Sector,All Adults,88
2014/15,South Ayrshire,All Sectors,All Adults,86
2014/15,South Ayrshire,All Sectors,Learning Disabilities,88
2014/15,South Ayrshire,All Sectors,Mental Health Problems,0
2014/15,South Ayrshire,All Sectors,Older People Aged 65 and Older,86
2014/15,South Ayrshire,All Sectors,Other Groups,0
2014/15,South Ayrshire,All Sectors,Physical and Sensory Impairment,0
2014/15,South Ayrshire,Local Authority/Health Board Sectors,All Adults,67
2014/15,South Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,67
2014/15,South Ayrshire,Private Sector,All Adults,87
2014/15,South Ayrshire,Private Sector,Older People Aged 65 and Older,87
2014/15,South Ayrshire,Voluntary or Not for Profit Sector,All Adults,92
2014/15,South Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,93
2014/15,South Lanarkshire,All Sectors,All Adults,84
2014/15,South Lanarkshire,All Sectors,Learning Disabilities,82
2014/15,South Lanarkshire,All Sectors,Mental Health Problems,96
2014/15,South Lanarkshire,All Sectors,Older People Aged 65 and Older,84
2014/15,South Lanarkshire,All Sectors,Other Groups,100
2014/15,South Lanarkshire,All Sectors,Physical and Sensory Impairment,100
2014/15,South Lanarkshire,Local Authority/Health Board Sectors,All Adults,84
2014/15,South Lanarkshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,84
2014/15,South Lanarkshire,Private Sector,All Adults,83
2014/15,South Lanarkshire,Private Sector,Older People Aged 65 and Older,83
2014/15,South Lanarkshire,Voluntary or Not for Profit Sector,All Adults,91
2014/15,South Lanarkshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,93
2014/15,Stirling,All Sectors,All Adults,88
2014/15,Stirling,All Sectors,Learning Disabilities,85
2014/15,Stirling,All Sectors,Mental Health Problems,97
2014/15,Stirling,All Sectors,Older People Aged 65 and Older,87
2014/15,Stirling,All Sectors,Other Groups,0
2014/15,Stirling,All Sectors,Physical and Sensory Impairment,94
2014/15,Stirling,Local Authority/Health Board Sectors,All Adults,84
2014/15,Stirling,Local Authority/Health Board Sectors,Older People Aged 65 and Older,84
2014/15,Stirling,Private Sector,All Adults,88
2014/15,Stirling,Private Sector,Older People Aged 65 and Older,88
2014/15,Stirling,Voluntary or Not for Profit Sector,All Adults,90
2014/15,Stirling,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,81
2014/15,West Dunbartonshire,All Sectors,All Adults,90
2014/15,West Dunbartonshire,All Sectors,Learning Disabilities,100
2014/15,West Dunbartonshire,All Sectors,Mental Health Problems,0
2014/15,West Dunbartonshire,All Sectors,Older People Aged 65 and Older,90
2014/15,West Dunbartonshire,All Sectors,Other Groups,0
2014/15,West Dunbartonshire,All Sectors,Physical and Sensory Impairment,0
2014/15,West Dunbartonshire,Local Authority/Health Board Sectors,All Adults,85
2014/15,West Dunbartonshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,85
2014/15,West Dunbartonshire,Private Sector,All Adults,93
2014/15,West Dunbartonshire,Private Sector,Older People Aged 65 and Older,93
2014/15,West Dunbartonshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2014/15,West Lothian,All Sectors,All Adults,91
2014/15,West Lothian,All Sectors,Learning Disabilities,99
2014/15,West Lothian,All Sectors,Mental Health Problems,0
2014/15,West Lothian,All Sectors,Older People Aged 65 and Older,91
2014/15,West Lothian,All Sectors,Other Groups,0
2014/15,West Lothian,All Sectors,Physical and Sensory Impairment,60
2014/15,West Lothian,Local Authority/Health Board Sectors,All Adults,94
2014/15,West Lothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,93
2014/15,West Lothian,Private Sector,All Adults,90
2014/15,West Lothian,Private Sector,Older People Aged 65 and Older,90
2014/15,West Lothian,Voluntary or Not for Profit Sector,All Adults,89
2014/15,West Lothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,92
2015/16,Aberdeen City,All Sectors,All Adults,91
2015/16,Aberdeen City,All Sectors,Learning Disabilities,95
2015/16,Aberdeen City,All Sectors,Mental Health Problems,95
2015/16,Aberdeen City,All Sectors,Older People Aged 65 and Older,90
2015/16,Aberdeen City,All Sectors,Other Groups,95
2015/16,Aberdeen City,All Sectors,Physical and Sensory Impairment,97
2015/16,Aberdeen City,Local Authority/Health Board Sectors,All Adults,0
2015/16,Aberdeen City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2015/16,Aberdeen City,Private Sector,All Adults,90
2015/16,Aberdeen City,Private Sector,Older People Aged 65 and Older,90
2015/16,Aberdeen City,Voluntary or Not for Profit Sector,All Adults,95
2015/16,Aberdeen City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,93
2015/16,Aberdeenshire,All Sectors,All Adults,91
2015/16,Aberdeenshire,All Sectors,Learning Disabilities,96
2015/16,Aberdeenshire,All Sectors,Mental Health Problems,95
2015/16,Aberdeenshire,All Sectors,Older People Aged 65 and Older,91
2015/16,Aberdeenshire,All Sectors,Other Groups,0
2015/16,Aberdeenshire,All Sectors,Physical and Sensory Impairment,0
2015/16,Aberdeenshire,Local Authority/Health Board Sectors,All Adults,86
2015/16,Aberdeenshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,87
2015/16,Aberdeenshire,Private Sector,All Adults,92
2015/16,Aberdeenshire,Private Sector,Older People Aged 65 and Older,92
2015/16,Aberdeenshire,Voluntary or Not for Profit Sector,All Adults,92
2015/16,Aberdeenshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,87
2015/16,Angus,All Sectors,All Adults,92
2015/16,Angus,All Sectors,Learning Disabilities,93
2015/16,Angus,All Sectors,Mental Health Problems,0
2015/16,Angus,All Sectors,Older People Aged 65 and Older,92
2015/16,Angus,All Sectors,Other Groups,0
2015/16,Angus,All Sectors,Physical and Sensory Impairment,0
2015/16,Angus,Local Authority/Health Board Sectors,All Adults,92
2015/16,Angus,Local Authority/Health Board Sectors,Older People Aged 65 and Older,94
2015/16,Angus,Private Sector,All Adults,91
2015/16,Angus,Private Sector,Older People Aged 65 and Older,91
2015/16,Angus,Voluntary or Not for Profit Sector,All Adults,100
2015/16,Angus,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,100
2015/16,Argyll and Bute,All Sectors,All Adults,86
2015/16,Argyll and Bute,All Sectors,Learning Disabilities,71
2015/16,Argyll and Bute,All Sectors,Mental Health Problems,0
2015/16,Argyll and Bute,All Sectors,Older People Aged 65 and Older,87
2015/16,Argyll and Bute,All Sectors,Other Groups,0
2015/16,Argyll and Bute,All Sectors,Physical and Sensory Impairment,0
2015/16,Argyll and Bute,Local Authority/Health Board Sectors,All Adults,71
2015/16,Argyll and Bute,Local Authority/Health Board Sectors,Older People Aged 65 and Older,71
2015/16,Argyll and Bute,Private Sector,All Adults,90
2015/16,Argyll and Bute,Private Sector,Older People Aged 65 and Older,90
2015/16,Argyll and Bute,Voluntary or Not for Profit Sector,All Adults,84
2015/16,Argyll and Bute,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,85
2015/16,City of Edinburgh,All Sectors,All Adults,89
2015/16,City of Edinburgh,All Sectors,Learning Disabilities,93
2015/16,City of Edinburgh,All Sectors,Mental Health Problems,100
2015/16,City of Edinburgh,All Sectors,Older People Aged 65 and Older,89
2015/16,City of Edinburgh,All Sectors,Other Groups,85
2015/16,City of Edinburgh,All Sectors,Physical and Sensory Impairment,107
2015/16,City of Edinburgh,Local Authority/Health Board Sectors,All Adults,84
2015/16,City of Edinburgh,Local Authority/Health Board Sectors,Older People Aged 65 and Older,83
2015/16,City of Edinburgh,Private Sector,All Adults,89
2015/16,City of Edinburgh,Private Sector,Older People Aged 65 and Older,89
2015/16,City of Edinburgh,Voluntary or Not for Profit Sector,All Adults,95
2015/16,City of Edinburgh,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,95
2015/16,Clackmannanshire,All Sectors,All Adults,94
2015/16,Clackmannanshire,All Sectors,Learning Disabilities,91
2015/16,Clackmannanshire,All Sectors,Mental Health Problems,93
2015/16,Clackmannanshire,All Sectors,Older People Aged 65 and Older,95
2015/16,Clackmannanshire,All Sectors,Other Groups,0
2015/16,Clackmannanshire,All Sectors,Physical and Sensory Impairment,0
2015/16,Clackmannanshire,Local Authority/Health Board Sectors,All Adults,85
2015/16,Clackmannanshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,85
2015/16,Clackmannanshire,Private Sector,All Adults,98
2015/16,Clackmannanshire,Private Sector,Older People Aged 65 and Older,98
2015/16,Clackmannanshire,Voluntary or Not for Profit Sector,All Adults,85
2015/16,Clackmannanshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2015/16,Dumfries and Galloway,All Sectors,All Adults,91
2015/16,Dumfries and Galloway,All Sectors,Learning Disabilities,94
2015/16,Dumfries and Galloway,All Sectors,Mental Health Problems,63
2015/16,Dumfries and Galloway,All Sectors,Older People Aged 65 and Older,93
2015/16,Dumfries and Galloway,All Sectors,Other Groups,0
2015/16,Dumfries and Galloway,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2015/16,Dumfries and Galloway,Private Sector,All Adults,90
2015/16,Dumfries and Galloway,Private Sector,Older People Aged 65 and Older,92
2015/16,Dumfries and Galloway,Voluntary or Not for Profit Sector,All Adults,94
2015/16,Dumfries and Galloway,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,96
2015/16,Dundee City,All Sectors,All Adults,87
2015/16,Dundee City,All Sectors,Learning Disabilities,98
2015/16,Dundee City,All Sectors,Mental Health Problems,80
2015/16,Dundee City,All Sectors,Older People Aged 65 and Older,87
2015/16,Dundee City,All Sectors,Other Groups,0
2015/16,Dundee City,All Sectors,Physical and Sensory Impairment,50
2015/16,Dundee City,Local Authority/Health Board Sectors,All Adults,86
2015/16,Dundee City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,89
2015/16,Dundee City,Private Sector,All Adults,86
2015/16,Dundee City,Private Sector,Older People Aged 65 and Older,86
2015/16,Dundee City,Voluntary or Not for Profit Sector,All Adults,108
2015/16,Dundee City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,108
2015/16,East Ayrshire,All Sectors,All Adults,89
2015/16,East Ayrshire,All Sectors,Learning Disabilities,100
2015/16,East Ayrshire,All Sectors,Mental Health Problems,67
2015/16,East Ayrshire,All Sectors,Older People Aged 65 and Older,89
2015/16,East Ayrshire,All Sectors,Other Groups,0
2015/16,East Ayrshire,All Sectors,Physical and Sensory Impairment,100
2015/16,East Ayrshire,Private Sector,All Adults,89
2015/16,East Ayrshire,Private Sector,Older People Aged 65 and Older,89
2015/16,East Ayrshire,Voluntary or Not for Profit Sector,All Adults,0
2015/16,East Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2015/16,East Dunbartonshire,All Sectors,All Adults,89
2015/16,East Dunbartonshire,All Sectors,Learning Disabilities,100
2015/16,East Dunbartonshire,All Sectors,Mental Health Problems,74
2015/16,East Dunbartonshire,All Sectors,Older People Aged 65 and Older,90
2015/16,East Dunbartonshire,All Sectors,Other Groups,0
2015/16,East Dunbartonshire,All Sectors,Physical and Sensory Impairment,100
2015/16,East Dunbartonshire,Local Authority/Health Board Sectors,All Adults,100
2015/16,East Dunbartonshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2015/16,East Dunbartonshire,Private Sector,All Adults,89
2015/16,East Dunbartonshire,Private Sector,Older People Aged 65 and Older,90
2015/16,East Dunbartonshire,Voluntary or Not for Profit Sector,All Adults,100
2015/16,East Lothian,All Sectors,All Adults,86
2015/16,East Lothian,All Sectors,Learning Disabilities,86
2015/16,East Lothian,All Sectors,Mental Health Problems,0
2015/16,East Lothian,All Sectors,Older People Aged 65 and Older,88
2015/16,East Lothian,All Sectors,Other Groups,0
2015/16,East Lothian,All Sectors,Physical and Sensory Impairment,39
2015/16,East Lothian,Local Authority/Health Board Sectors,All Adults,93
2015/16,East Lothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,93
2015/16,East Lothian,Private Sector,All Adults,85
2015/16,East Lothian,Private Sector,Older People Aged 65 and Older,85
2015/16,East Lothian,Voluntary or Not for Profit Sector,All Adults,77
2015/16,East Lothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,100
2015/16,East Renfrewshire,All Sectors,All Adults,86
2015/16,East Renfrewshire,All Sectors,Learning Disabilities,100
2015/16,East Renfrewshire,All Sectors,Mental Health Problems,0
2015/16,East Renfrewshire,All Sectors,Older People Aged 65 and Older,85
2015/16,East Renfrewshire,All Sectors,Other Groups,0
2015/16,East Renfrewshire,All Sectors,Physical and Sensory Impairment,0
2015/16,East Renfrewshire,Local Authority/Health Board Sectors,All Adults,88
2015/16,East Renfrewshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,88
2015/16,East Renfrewshire,Private Sector,All Adults,88
2015/16,East Renfrewshire,Private Sector,Older People Aged 65 and Older,88
2015/16,East Renfrewshire,Voluntary or Not for Profit Sector,All Adults,79
2015/16,East Renfrewshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,78
2015/16,Falkirk,All Sectors,All Adults,87
2015/16,Falkirk,All Sectors,Learning Disabilities,90
2015/16,Falkirk,All Sectors,Mental Health Problems,100
2015/16,Falkirk,All Sectors,Older People Aged 65 and Older,87
2015/16,Falkirk,All Sectors,Other Groups,0
2015/16,Falkirk,All Sectors,Physical and Sensory Impairment,0
2015/16,Falkirk,Local Authority/Health Board Sectors,All Adults,76
2015/16,Falkirk,Local Authority/Health Board Sectors,Older People Aged 65 and Older,76
2015/16,Falkirk,Private Sector,All Adults,89
2015/16,Falkirk,Private Sector,Older People Aged 65 and Older,88
2015/16,Falkirk,Voluntary or Not for Profit Sector,All Adults,93
2015/16,Falkirk,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,92
2015/16,Fife,All Sectors,All Adults,88
2015/16,Fife,All Sectors,Learning Disabilities,80
2015/16,Fife,All Sectors,Mental Health Problems,100
2015/16,Fife,All Sectors,Older People Aged 65 and Older,88
2015/16,Fife,All Sectors,Other Groups,0
2015/16,Fife,All Sectors,Physical and Sensory Impairment,88
2015/16,Fife,Local Authority/Health Board Sectors,All Adults,88
2015/16,Fife,Local Authority/Health Board Sectors,Older People Aged 65 and Older,89
2015/16,Fife,Private Sector,All Adults,88
2015/16,Fife,Private Sector,Older People Aged 65 and Older,88
2015/16,Fife,Voluntary or Not for Profit Sector,All Adults,90
2015/16,Fife,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,97
2015/16,Glasgow City,All Sectors,All Adults,84
2015/16,Glasgow City,All Sectors,Learning Disabilities,98
2015/16,Glasgow City,All Sectors,Mental Health Problems,95
2015/16,Glasgow City,All Sectors,Older People Aged 65 and Older,82
2015/16,Glasgow City,All Sectors,Other Groups,88
2015/16,Glasgow City,All Sectors,Physical and Sensory Impairment,101
2015/16,Glasgow City,Local Authority/Health Board Sectors,All Adults,77
2015/16,Glasgow City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,77
2015/16,Glasgow City,Private Sector,All Adults,82
2015/16,Glasgow City,Private Sector,Older People Aged 65 and Older,82
2015/16,Glasgow City,Voluntary or Not for Profit Sector,All Adults,95
2015/16,Glasgow City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,96
2015/16,Highland,All Sectors,All Adults,94
2015/16,Highland,All Sectors,Learning Disabilities,98
2015/16,Highland,All Sectors,Mental Health Problems,97
2015/16,Highland,All Sectors,Older People Aged 65 and Older,93
2015/16,Highland,All Sectors,Other Groups,67
2015/16,Highland,All Sectors,Physical and Sensory Impairment,100
2015/16,Highland,Local Authority/Health Board Sectors,All Adults,96
2015/16,Highland,Local Authority/Health Board Sectors,Older People Aged 65 and Older,96
2015/16,Highland,Private Sector,All Adults,94
2015/16,Highland,Private Sector,Older People Aged 65 and Older,94
2015/16,Highland,Voluntary or Not for Profit Sector,All Adults,88
2015/16,Highland,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,87
2015/16,Inverclyde,All Sectors,All Adults,95
2015/16,Inverclyde,All Sectors,Learning Disabilities,100
2015/16,Inverclyde,All Sectors,Mental Health Problems,100
2015/16,Inverclyde,All Sectors,Older People Aged 65 and Older,94
2015/16,Inverclyde,All Sectors,Other Groups,0
2015/16,Inverclyde,All Sectors,Physical and Sensory Impairment,93
2015/16,Inverclyde,Local Authority/Health Board Sectors,All Adults,0
2015/16,Inverclyde,Private Sector,All Adults,97
2015/16,Inverclyde,Private Sector,Older People Aged 65 and Older,97
2015/16,Inverclyde,Voluntary or Not for Profit Sector,All Adults,93
2015/16,Inverclyde,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,90
2015/16,Midlothian,All Sectors,All Adults,90
2015/16,Midlothian,All Sectors,Learning Disabilities,77
2015/16,Midlothian,All Sectors,Mental Health Problems,0
2015/16,Midlothian,All Sectors,Older People Aged 65 and Older,91
2015/16,Midlothian,All Sectors,Other Groups,0
2015/16,Midlothian,All Sectors,Physical and Sensory Impairment,0
2015/16,Midlothian,Local Authority/Health Board Sectors,All Adults,96
2015/16,Midlothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,96
2015/16,Midlothian,Private Sector,All Adults,90
2015/16,Midlothian,Private Sector,Older People Aged 65 and Older,90
2015/16,Midlothian,Voluntary or Not for Profit Sector,All Adults,85
2015/16,Midlothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,90
2015/16,Moray,All Sectors,All Adults,91
2015/16,Moray,All Sectors,Learning Disabilities,61
2015/16,Moray,All Sectors,Older People Aged 65 and Older,93
2015/16,Moray,All Sectors,Other Groups,0
2015/16,Moray,Local Authority/Health Board Sectors,All Adults,62
2015/16,Moray,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2015/16,Moray,Private Sector,All Adults,93
2015/16,Moray,Private Sector,Older People Aged 65 and Older,93
2015/16,Moray,Voluntary or Not for Profit Sector,All Adults,88
2015/16,Moray,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,100
2015/16,Na h-Eileanan Siar,All Sectors,All Adults,94
2015/16,Na h-Eileanan Siar,All Sectors,Learning Disabilities,100
2015/16,Na h-Eileanan Siar,All Sectors,Mental Health Problems,0
2015/16,Na h-Eileanan Siar,All Sectors,Older People Aged 65 and Older,94
2015/16,Na h-Eileanan Siar,All Sectors,Other Groups,0
2015/16,Na h-Eileanan Siar,All Sectors,Physical and Sensory Impairment,0
2015/16,Na h-Eileanan Siar,Local Authority/Health Board Sectors,All Adults,94
2015/16,Na h-Eileanan Siar,Local Authority/Health Board Sectors,Older People Aged 65 and Older,94
2015/16,Na h-Eileanan Siar,Private Sector,All Adults,98
2015/16,Na h-Eileanan Siar,Private Sector,Older People Aged 65 and Older,98
2015/16,Na h-Eileanan Siar,Voluntary or Not for Profit Sector,All Adults,90
2015/16,Na h-Eileanan Siar,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,90
2015/16,North Ayrshire,All Sectors,All Adults,80
2015/16,North Ayrshire,All Sectors,Learning Disabilities,82
2015/16,North Ayrshire,All Sectors,Mental Health Problems,0
2015/16,North Ayrshire,All Sectors,Older People Aged 65 and Older,81
2015/16,North Ayrshire,All Sectors,Other Groups,0
2015/16,North Ayrshire,All Sectors,Physical and Sensory Impairment,14
2015/16,North Ayrshire,Local Authority/Health Board Sectors,All Adults,79
2015/16,North Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,79
2015/16,North Ayrshire,Private Sector,All Adults,81
2015/16,North Ayrshire,Private Sector,Older People Aged 65 and Older,81
2015/16,North Ayrshire,Voluntary or Not for Profit Sector,All Adults,71
2015/16,North Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,91
2015/16,North Lanarkshire,All Sectors,All Adults,86
2015/16,North Lanarkshire,All Sectors,Learning Disabilities,84
2015/16,North Lanarkshire,All Sectors,Mental Health Problems,98
2015/16,North Lanarkshire,All Sectors,Older People Aged 65 and Older,86
2015/16,North Lanarkshire,All Sectors,Other Groups,52
2015/16,North Lanarkshire,All Sectors,Physical and Sensory Impairment,88
2015/16,North Lanarkshire,Local Authority/Health Board Sectors,All Adults,57
2015/16,North Lanarkshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,57
2015/16,North Lanarkshire,Private Sector,All Adults,87
2015/16,North Lanarkshire,Private Sector,Older People Aged 65 and Older,88
2015/16,North Lanarkshire,Voluntary or Not for Profit Sector,All Adults,100
2015/16,North Lanarkshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,108
2015/16,Orkney Islands,All Sectors,All Adults,97
2015/16,Orkney Islands,All Sectors,Learning Disabilities,88
2015/16,Orkney Islands,All Sectors,Mental Health Problems,0
2015/16,Orkney Islands,All Sectors,Older People Aged 65 and Older,98
2015/16,Orkney Islands,All Sectors,Other Groups,0
2015/16,Orkney Islands,All Sectors,Physical and Sensory Impairment,0
2015/16,Orkney Islands,Local Authority/Health Board Sectors,All Adults,97
2015/16,Orkney Islands,Local Authority/Health Board Sectors,Older People Aged 65 and Older,98
2015/16,Orkney Islands,Private Sector,All Adults,0
2015/16,Orkney Islands,Private Sector,Older People Aged 65 and Older,0
2015/16,Orkney Islands,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2015/16,Perth and Kinross,All Sectors,All Adults,86
2015/16,Perth and Kinross,All Sectors,Learning Disabilities,85
2015/16,Perth and Kinross,All Sectors,Mental Health Problems,0
2015/16,Perth and Kinross,All Sectors,Older People Aged 65 and Older,86
2015/16,Perth and Kinross,All Sectors,Other Groups,0
2015/16,Perth and Kinross,All Sectors,Physical and Sensory Impairment,92
2015/16,Perth and Kinross,Local Authority/Health Board Sectors,All Adults,92
2015/16,Perth and Kinross,Local Authority/Health Board Sectors,Older People Aged 65 and Older,92
2015/16,Perth and Kinross,Private Sector,All Adults,84
2015/16,Perth and Kinross,Private Sector,Older People Aged 65 and Older,85
2015/16,Perth and Kinross,Voluntary or Not for Profit Sector,All Adults,92
2015/16,Perth and Kinross,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,90
2015/16,Renfrewshire,All Sectors,All Adults,87
2015/16,Renfrewshire,All Sectors,Learning Disabilities,100
2015/16,Renfrewshire,All Sectors,Mental Health Problems,0
2015/16,Renfrewshire,All Sectors,Older People Aged 65 and Older,86
2015/16,Renfrewshire,All Sectors,Other Groups,0
2015/16,Renfrewshire,All Sectors,Physical and Sensory Impairment,120
2015/16,Renfrewshire,Local Authority/Health Board Sectors,All Adults,76
2015/16,Renfrewshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,75
2015/16,Renfrewshire,Private Sector,All Adults,86
2015/16,Renfrewshire,Private Sector,Older People Aged 65 and Older,86
2015/16,Renfrewshire,Voluntary or Not for Profit Sector,All Adults,99
2015/16,Renfrewshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,97
2015/16,Scotland,All Sectors,All Adults,88
2015/16,Scotland,All Sectors,Learning Disabilities,90
2015/16,Scotland,All Sectors,Mental Health Problems,91
2015/16,Scotland,All Sectors,Older People Aged 65 and Older,88
2015/16,Scotland,All Sectors,Other Groups,83
