date,council_area_2019,main_client_group,sector,number_of_places,council_area,financial_year
2017-03-31,S12000028,Older People Aged 65 and Older,Private Sector,959,South Ayrshire,2016/17
2017-03-31,S12000028,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,94,South Ayrshire,2016/17
2017-03-31,S12000029,Older People Aged 65 and Older,All Sectors,2391,South Lanarkshire,2016/17
2017-03-31,S12000029,Older People Aged 65 and Older,Local Authority/Health Board Sectors,273,South Lanarkshire,2016/17
2017-03-31,S12000029,Older People Aged 65 and Older,Private Sector,1901,South Lanarkshire,2016/17
2017-03-31,S12000029,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,217,South Lanarkshire,2016/17
2017-03-31,S12000030,Older People Aged 65 and Older,All Sectors,498,Stirling,2016/17
2017-03-31,S12000030,Older People Aged 65 and Older,Local Authority/Health Board Sectors,47,Stirling,2016/17
2017-03-31,S12000030,Older People Aged 65 and Older,Private Sector,404,Stirling,2016/17
2017-03-31,S12000030,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,47,Stirling,2016/17
2017-03-31,S12000033,Older People Aged 65 and Older,All Sectors,1440,Aberdeen City,2016/17
2017-03-31,S12000033,Older People Aged 65 and Older,Local Authority/Health Board Sectors,0,Aberdeen City,2016/17
2017-03-31,S12000033,Older People Aged 65 and Older,Private Sector,1299,Aberdeen City,2016/17
2017-03-31,S12000033,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,141,Aberdeen City,2016/17
2017-03-31,S12000034,Older People Aged 65 and Older,All Sectors,1790,Aberdeenshire,2016/17
2017-03-31,S12000034,Older People Aged 65 and Older,Local Authority/Health Board Sectors,308,Aberdeenshire,2016/17
2017-03-31,S12000034,Older People Aged 65 and Older,Private Sector,1353,Aberdeenshire,2016/17
2017-03-31,S12000034,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,129,Aberdeenshire,2016/17
2017-03-31,S12000035,Older People Aged 65 and Older,All Sectors,576,Argyll and Bute,2016/17
2017-03-31,S12000035,Older People Aged 65 and Older,Local Authority/Health Board Sectors,89,Argyll and Bute,2016/17
2017-03-31,S12000035,Older People Aged 65 and Older,Private Sector,435,Argyll and Bute,2016/17
2017-03-31,S12000035,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,52,Argyll and Bute,2016/17
2017-03-31,S12000036,Older People Aged 65 and Older,All Sectors,2824,City of Edinburgh,2016/17
2017-03-31,S12000036,Older People Aged 65 and Older,Local Authority/Health Board Sectors,488,City of Edinburgh,2016/17
2017-03-31,S12000036,Older People Aged 65 and Older,Private Sector,1879,City of Edinburgh,2016/17
2017-03-31,S12000036,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,457,City of Edinburgh,2016/17
2017-03-31,S12000038,Older People Aged 65 and Older,All Sectors,1372,Renfrewshire,2016/17
2017-03-31,S12000038,Older People Aged 65 and Older,Local Authority/Health Board Sectors,180,Renfrewshire,2016/17
2017-03-31,S12000038,Older People Aged 65 and Older,Private Sector,942,Renfrewshire,2016/17
2017-03-31,S12000038,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,250,Renfrewshire,2016/17
2017-03-31,S12000039,Older People Aged 65 and Older,All Sectors,605,West Dunbartonshire,2016/17
2017-03-31,S12000039,Older People Aged 65 and Older,Local Authority/Health Board Sectors,172,West Dunbartonshire,2016/17
2017-03-31,S12000039,Older People Aged 65 and Older,Private Sector,433,West Dunbartonshire,2016/17
2017-03-31,S12000039,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,0,West Dunbartonshire,2016/17
2017-03-31,S12000040,Older People Aged 65 and Older,All Sectors,888,West Lothian,2016/17
2017-03-31,S12000040,Older People Aged 65 and Older,Local Authority/Health Board Sectors,141,West Lothian,2016/17
2017-03-31,S12000040,Older People Aged 65 and Older,Private Sector,725,West Lothian,2016/17
2017-03-31,S12000040,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,22,West Lothian,2016/17
2017-03-31,S12000041,Older People Aged 65 and Older,All Sectors,1079,Angus,2016/17
2017-03-31,S12000041,Older People Aged 65 and Older,Local Authority/Health Board Sectors,82,Angus,2016/17
2017-03-31,S12000041,Older People Aged 65 and Older,Private Sector,957,Angus,2016/17
2017-03-31,S12000041,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,40,Angus,2016/17
2017-03-31,S12000042,Older People Aged 65 and Older,All Sectors,1148,Dundee City,2016/17
2017-03-31,S12000042,Older People Aged 65 and Older,Local Authority/Health Board Sectors,132,Dundee City,2016/17
2017-03-31,S12000042,Older People Aged 65 and Older,Private Sector,968,Dundee City,2016/17
2017-03-31,S12000042,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,48,Dundee City,2016/17
2017-03-31,S12000045,Older People Aged 65 and Older,All Sectors,740,East Dunbartonshire,2016/17
2017-03-31,S12000045,Older People Aged 65 and Older,Local Authority/Health Board Sectors,0,East Dunbartonshire,2016/17
2017-03-31,S12000045,Older People Aged 65 and Older,Private Sector,738,East Dunbartonshire,2016/17
2017-03-31,S12000045,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,2,East Dunbartonshire,2016/17
2017-03-31,S12000047,Older People Aged 65 and Older,All Sectors,2998,Fife,2016/17
2017-03-31,S12000047,Older People Aged 65 and Older,Local Authority/Health Board Sectors,349,Fife,2016/17
2017-03-31,S12000047,Older People Aged 65 and Older,Private Sector,2556,Fife,2016/17
2017-03-31,S12000047,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,93,Fife,2016/17
2017-03-31,S12000048,Older People Aged 65 and Older,All Sectors,1429,Perth and Kinross,2016/17
2017-03-31,S12000048,Older People Aged 65 and Older,Local Authority/Health Board Sectors,84,Perth and Kinross,2016/17
2017-03-31,S12000048,Older People Aged 65 and Older,Private Sector,1197,Perth and Kinross,2016/17
2017-03-31,S12000048,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,148,Perth and Kinross,2016/17
2017-03-31,S12000049,Older People Aged 65 and Older,All Sectors,4147,Glasgow City,2016/17
2017-03-31,S12000049,Older People Aged 65 and Older,Local Authority/Health Board Sectors,567,Glasgow City,2016/17
2017-03-31,S12000049,Older People Aged 65 and Older,Private Sector,3218,Glasgow City,2016/17
2017-03-31,S12000049,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,362,Glasgow City,2016/17
2017-03-31,S12000050,Older People Aged 65 and Older,All Sectors,1711,North Lanarkshire,2016/17
2017-03-31,S12000050,Older People Aged 65 and Older,Local Authority/Health Board Sectors,42,North Lanarkshire,2016/17
2017-03-31,S12000050,Older People Aged 65 and Older,Private Sector,1629,North Lanarkshire,2016/17
2017-03-31,S12000050,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,40,North Lanarkshire,2016/17
2017-03-31,S92000003,Older People Aged 65 and Older,All Sectors,37278,Scotland,2016/17
2017-03-31,S92000003,Older People Aged 65 and Older,Local Authority/Health Board Sectors,4076,Scotland,2016/17
2017-03-31,S92000003,Older People Aged 65 and Older,Private Sector,29906,Scotland,2016/17
2017-03-31,S92000003,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,3296,Scotland,2016/17
2017-03-31,S12000005,Other Groups,All Sectors,0,Clackmannanshire,2016/17
2017-03-31,S12000006,Other Groups,All Sectors,0,Dumfries and Galloway,2016/17
2017-03-31,S12000008,Other Groups,All Sectors,0,East Ayrshire,2016/17
2017-03-31,S12000010,Other Groups,All Sectors,0,East Lothian,2016/17
2017-03-31,S12000011,Other Groups,All Sectors,0,East Renfrewshire,2016/17
2017-03-31,S12000013,Other Groups,All Sectors,0,Na h-Eileanan Siar,2016/17
2017-03-31,S12000014,Other Groups,All Sectors,0,Falkirk,2016/17
2017-03-31,S12000017,Other Groups,All Sectors,15,Highland,2016/17
2017-03-31,S12000018,Other Groups,All Sectors,0,Inverclyde,2016/17
2017-03-31,S12000019,Other Groups,All Sectors,0,Midlothian,2016/17
2017-03-31,S12000020,Other Groups,All Sectors,0,Moray,2016/17
2017-03-31,S12000021,Other Groups,All Sectors,0,North Ayrshire,2016/17
2017-03-31,S12000023,Other Groups,All Sectors,0,Orkney Islands,2016/17
2017-03-31,S12000026,Other Groups,All Sectors,0,Scottish Borders,2016/17
2017-03-31,S12000027,Other Groups,All Sectors,0,Shetland Islands,2016/17
2017-03-31,S12000028,Other Groups,All Sectors,0,South Ayrshire,2016/17
2017-03-31,S12000029,Other Groups,All Sectors,28,South Lanarkshire,2016/17
2017-03-31,S12000030,Other Groups,All Sectors,0,Stirling,2016/17
2017-03-31,S12000033,Other Groups,All Sectors,48,Aberdeen City,2016/17
2017-03-31,S12000034,Other Groups,All Sectors,0,Aberdeenshire,2016/17
2017-03-31,S12000035,Other Groups,All Sectors,0,Argyll and Bute,2016/17
2017-03-31,S12000036,Other Groups,All Sectors,20,City of Edinburgh,2016/17
2017-03-31,S12000038,Other Groups,All Sectors,0,Renfrewshire,2016/17
2017-03-31,S12000039,Other Groups,All Sectors,0,West Dunbartonshire,2016/17
2017-03-31,S12000040,Other Groups,All Sectors,0,West Lothian,2016/17
2017-03-31,S12000041,Other Groups,All Sectors,0,Angus,2016/17
2017-03-31,S12000042,Other Groups,All Sectors,0,Dundee City,2016/17
2017-03-31,S12000045,Other Groups,All Sectors,0,East Dunbartonshire,2016/17
2017-03-31,S12000047,Other Groups,All Sectors,0,Fife,2016/17
2017-03-31,S12000048,Other Groups,All Sectors,0,Perth and Kinross,2016/17
2017-03-31,S12000049,Other Groups,All Sectors,170,Glasgow City,2016/17
2017-03-31,S12000050,Other Groups,All Sectors,21,North Lanarkshire,2016/17
2017-03-31,S92000003,Other Groups,All Sectors,302,Scotland,2016/17
2017-03-31,S92000003,Other Groups,Local Authority/Health Board Sectors,0,Scotland,2016/17
2017-03-31,S92000003,Other Groups,Private Sector,49,Scotland,2016/17
2017-03-31,S92000003,Other Groups,Voluntary or Not for Profit Sector,253,Scotland,2016/17
2017-03-31,S12000005,Physical and Sensory Impairment,All Sectors,0,Clackmannanshire,2016/17
2017-03-31,S12000006,Physical and Sensory Impairment,All Sectors,5,Dumfries and Galloway,2016/17
2017-03-31,S12000008,Physical and Sensory Impairment,All Sectors,10,East Ayrshire,2016/17
2017-03-31,S12000010,Physical and Sensory Impairment,All Sectors,23,East Lothian,2016/17
2017-03-31,S12000011,Physical and Sensory Impairment,All Sectors,0,East Renfrewshire,2016/17
2017-03-31,S12000013,Physical and Sensory Impairment,All Sectors,0,Na h-Eileanan Siar,2016/17
2017-03-31,S12000014,Physical and Sensory Impairment,All Sectors,0,Falkirk,2016/17
2017-03-31,S12000017,Physical and Sensory Impairment,All Sectors,59,Highland,2016/17
2017-03-31,S12000018,Physical and Sensory Impairment,All Sectors,61,Inverclyde,2016/17
2017-03-31,S12000019,Physical and Sensory Impairment,All Sectors,0,Midlothian,2016/17
2017-03-31,S12000020,Physical and Sensory Impairment,All Sectors,4,Moray,2016/17
2017-03-31,S12000021,Physical and Sensory Impairment,All Sectors,0,North Ayrshire,2016/17
2017-03-31,S12000023,Physical and Sensory Impairment,All Sectors,1,Orkney Islands,2016/17
2017-03-31,S12000026,Physical and Sensory Impairment,All Sectors,0,Scottish Borders,2016/17
2017-03-31,S12000027,Physical and Sensory Impairment,All Sectors,0,Shetland Islands,2016/17
2017-03-31,S12000028,Physical and Sensory Impairment,All Sectors,0,South Ayrshire,2016/17
2017-03-31,S12000029,Physical and Sensory Impairment,All Sectors,59,South Lanarkshire,2016/17
2017-03-31,S12000030,Physical and Sensory Impairment,All Sectors,17,Stirling,2016/17
2017-03-31,S12000033,Physical and Sensory Impairment,All Sectors,61,Aberdeen City,2016/17
2017-03-31,S12000034,Physical and Sensory Impairment,All Sectors,0,Aberdeenshire,2016/17
2017-03-31,S12000035,Physical and Sensory Impairment,All Sectors,0,Argyll and Bute,2016/17
2017-03-31,S12000036,Physical and Sensory Impairment,All Sectors,47,City of Edinburgh,2016/17
2017-03-31,S12000038,Physical and Sensory Impairment,All Sectors,20,Renfrewshire,2016/17
2017-03-31,S12000039,Physical and Sensory Impairment,All Sectors,0,West Dunbartonshire,2016/17
2017-03-31,S12000040,Physical and Sensory Impairment,All Sectors,20,West Lothian,2016/17
2017-03-31,S12000041,Physical and Sensory Impairment,All Sectors,0,Angus,2016/17
2017-03-31,S12000042,Physical and Sensory Impairment,All Sectors,10,Dundee City,2016/17
2017-03-31,S12000045,Physical and Sensory Impairment,All Sectors,22,East Dunbartonshire,2016/17
2017-03-31,S12000047,Physical and Sensory Impairment,All Sectors,25,Fife,2016/17
2017-03-31,S12000048,Physical and Sensory Impairment,All Sectors,61,Perth and Kinross,2016/17
2017-03-31,S12000049,Physical and Sensory Impairment,All Sectors,68,Glasgow City,2016/17
2017-03-31,S12000050,Physical and Sensory Impairment,All Sectors,26,North Lanarkshire,2016/17
2017-03-31,S92000003,Physical and Sensory Impairment,All Sectors,599,Scotland,2016/17
2017-03-31,S92000003,Physical and Sensory Impairment,Local Authority/Health Board Sectors,15,Scotland,2016/17
2017-03-31,S92000003,Physical and Sensory Impairment,Private Sector,176,Scotland,2016/17
2017-03-31,S92000003,Physical and Sensory Impairment,Voluntary or Not for Profit Sector,408,Scotland,2016/17
2018-03-31,S12000005,All Adults,All Sectors,384,Clackmannanshire,2017/18
2018-03-31,S12000005,All Adults,Local Authority/Health Board Sectors,52,Clackmannanshire,2017/18
2018-03-31,S12000005,All Adults,Private Sector,280,Clackmannanshire,2017/18
2018-03-31,S12000005,All Adults,Voluntary or Not for Profit Sector,52,Clackmannanshire,2017/18
2018-03-31,S12000006,All Adults,All Sectors,1167,Dumfries and Galloway,2017/18
2018-03-31,S12000006,All Adults,Local Authority/Health Board Sectors,3,Dumfries and Galloway,2017/18
2018-03-31,S12000006,All Adults,Private Sector,909,Dumfries and Galloway,2017/18
2018-03-31,S12000006,All Adults,Voluntary or Not for Profit Sector,255,Dumfries and Galloway,2017/18
2018-03-31,S12000008,All Adults,All Sectors,977,East Ayrshire,2017/18
2018-03-31,S12000008,All Adults,Local Authority/Health Board Sectors,2,East Ayrshire,2017/18
2018-03-31,S12000008,All Adults,Private Sector,975,East Ayrshire,2017/18
2018-03-31,S12000008,All Adults,Voluntary or Not for Profit Sector,0,East Ayrshire,2017/18
2018-03-31,S12000010,All Adults,All Sectors,648,East Lothian,2017/18
2018-03-31,S12000010,All Adults,Local Authority/Health Board Sectors,123,East Lothian,2017/18
2018-03-31,S12000010,All Adults,Private Sector,465,East Lothian,2017/18
2018-03-31,S12000010,All Adults,Voluntary or Not for Profit Sector,60,East Lothian,2017/18
2018-03-31,S12000011,All Adults,All Sectors,703,East Renfrewshire,2017/18
2018-03-31,S12000011,All Adults,Local Authority/Health Board Sectors,34,East Renfrewshire,2017/18
2018-03-31,S12000011,All Adults,Private Sector,545,East Renfrewshire,2017/18
2018-03-31,S12000011,All Adults,Voluntary or Not for Profit Sector,124,East Renfrewshire,2017/18
2018-03-31,S12000013,All Adults,All Sectors,228,Na h-Eileanan Siar,2017/18
2018-03-31,S12000013,All Adults,Local Authority/Health Board Sectors,139,Na h-Eileanan Siar,2017/18
2018-03-31,S12000013,All Adults,Private Sector,40,Na h-Eileanan Siar,2017/18
2018-03-31,S12000013,All Adults,Voluntary or Not for Profit Sector,49,Na h-Eileanan Siar,2017/18
2018-03-31,S12000014,All Adults,All Sectors,1120,Falkirk,2017/18
2018-03-31,S12000014,All Adults,Local Authority/Health Board Sectors,148,Falkirk,2017/18
2018-03-31,S12000014,All Adults,Private Sector,891,Falkirk,2017/18
2018-03-31,S12000014,All Adults,Voluntary or Not for Profit Sector,81,Falkirk,2017/18
2018-03-31,S12000017,All Adults,All Sectors,2005,Highland,2017/18
2018-03-31,S12000017,All Adults,Local Authority/Health Board Sectors,214,Highland,2017/18
2018-03-31,S12000017,All Adults,Private Sector,1487,Highland,2017/18
2018-03-31,S12000017,All Adults,Voluntary or Not for Profit Sector,304,Highland,2017/18
2018-03-31,S12000018,All Adults,All Sectors,864,Inverclyde,2017/18
2018-03-31,S12000018,All Adults,Local Authority/Health Board Sectors,4,Inverclyde,2017/18
2018-03-31,S12000018,All Adults,Private Sector,561,Inverclyde,2017/18
2018-03-31,S12000018,All Adults,Voluntary or Not for Profit Sector,299,Inverclyde,2017/18
2018-03-31,S12000019,All Adults,All Sectors,571,Midlothian,2017/18
2018-03-31,S12000019,All Adults,Local Authority/Health Board Sectors,102,Midlothian,2017/18
2018-03-31,S12000019,All Adults,Private Sector,411,Midlothian,2017/18
2018-03-31,S12000019,All Adults,Voluntary or Not for Profit Sector,58,Midlothian,2017/18
2018-03-31,S12000020,All Adults,All Sectors,620,Moray,2017/18
2018-03-31,S12000020,All Adults,Local Authority/Health Board Sectors,2,Moray,2017/18
2018-03-31,S12000020,All Adults,Private Sector,544,Moray,2017/18
2018-03-31,S12000020,All Adults,Voluntary or Not for Profit Sector,74,Moray,2017/18
2018-03-31,S12000021,All Adults,All Sectors,1171,North Ayrshire,2017/18
2018-03-31,S12000021,All Adults,Local Authority/Health Board Sectors,34,North Ayrshire,2017/18
2018-03-31,S12000021,All Adults,Private Sector,1043,North Ayrshire,2017/18
2018-03-31,S12000021,All Adults,Voluntary or Not for Profit Sector,94,North Ayrshire,2017/18
2018-03-31,S12000023,All Adults,All Sectors,120,Orkney Islands,2017/18
2018-03-31,S12000023,All Adults,Local Authority/Health Board Sectors,116,Orkney Islands,2017/18
2018-03-31,S12000023,All Adults,Private Sector,0,Orkney Islands,2017/18
2018-03-31,S12000023,All Adults,Voluntary or Not for Profit Sector,4,Orkney Islands,2017/18
2018-03-31,S12000026,All Adults,All Sectors,767,Scottish Borders,2017/18
2018-03-31,S12000026,All Adults,Local Authority/Health Board Sectors,0,Scottish Borders,2017/18
2018-03-31,S12000026,All Adults,Private Sector,693,Scottish Borders,2017/18
2018-03-31,S12000026,All Adults,Voluntary or Not for Profit Sector,74,Scottish Borders,2017/18
2018-03-31,S12000027,All Adults,All Sectors,158,Shetland Islands,2017/18
2018-03-31,S12000027,All Adults,Local Authority/Health Board Sectors,142,Shetland Islands,2017/18
2018-03-31,S12000027,All Adults,Private Sector,0,Shetland Islands,2017/18
2018-03-31,S12000027,All Adults,Voluntary or Not for Profit Sector,16,Shetland Islands,2017/18
2018-03-31,S12000028,All Adults,All Sectors,1211,South Ayrshire,2017/18
2018-03-31,S12000028,All Adults,Local Authority/Health Board Sectors,58,South Ayrshire,2017/18
2018-03-31,S12000028,All Adults,Private Sector,996,South Ayrshire,2017/18
2018-03-31,S12000028,All Adults,Voluntary or Not for Profit Sector,157,South Ayrshire,2017/18
2018-03-31,S12000029,All Adults,All Sectors,2756,South Lanarkshire,2017/18
2018-03-31,S12000029,All Adults,Local Authority/Health Board Sectors,273,South Lanarkshire,2017/18
2018-03-31,S12000029,All Adults,Private Sector,2176,South Lanarkshire,2017/18
2018-03-31,S12000029,All Adults,Voluntary or Not for Profit Sector,307,South Lanarkshire,2017/18
2018-03-31,S12000030,All Adults,All Sectors,683,Stirling,2017/18
2018-03-31,S12000030,All Adults,Local Authority/Health Board Sectors,47,Stirling,2017/18
2018-03-31,S12000030,All Adults,Private Sector,507,Stirling,2017/18
2018-03-31,S12000030,All Adults,Voluntary or Not for Profit Sector,129,Stirling,2017/18
2018-03-31,S12000033,All Adults,All Sectors,1730,Aberdeen City,2017/18
2018-03-31,S12000033,All Adults,Local Authority/Health Board Sectors,0,Aberdeen City,2017/18
2018-03-31,S12000033,All Adults,Private Sector,1305,Aberdeen City,2017/18
2018-03-31,S12000033,All Adults,Voluntary or Not for Profit Sector,425,Aberdeen City,2017/18
2018-03-31,S12000034,All Adults,All Sectors,1930,Aberdeenshire,2017/18
2018-03-31,S12000034,All Adults,Local Authority/Health Board Sectors,327,Aberdeenshire,2017/18
2018-03-31,S12000034,All Adults,Private Sector,1360,Aberdeenshire,2017/18
2018-03-31,S12000034,All Adults,Voluntary or Not for Profit Sector,243,Aberdeenshire,2017/18
2018-03-31,S12000035,All Adults,All Sectors,583,Argyll and Bute,2017/18
2018-03-31,S12000035,All Adults,Local Authority/Health Board Sectors,89,Argyll and Bute,2017/18
2018-03-31,S12000035,All Adults,Private Sector,442,Argyll and Bute,2017/18
2018-03-31,S12000035,All Adults,Voluntary or Not for Profit Sector,52,Argyll and Bute,2017/18
2018-03-31,S12000036,All Adults,All Sectors,3137,City of Edinburgh,2017/18
2018-03-31,S12000036,All Adults,Local Authority/Health Board Sectors,509,City of Edinburgh,2017/18
2018-03-31,S12000036,All Adults,Private Sector,2073,City of Edinburgh,2017/18
2018-03-31,S12000036,All Adults,Voluntary or Not for Profit Sector,555,City of Edinburgh,2017/18
2018-03-31,S12000038,All Adults,All Sectors,1433,Renfrewshire,2017/18
2018-03-31,S12000038,All Adults,Local Authority/Health Board Sectors,178,Renfrewshire,2017/18
2018-03-31,S12000038,All Adults,Private Sector,922,Renfrewshire,2017/18
2018-03-31,S12000038,All Adults,Voluntary or Not for Profit Sector,333,Renfrewshire,2017/18
2018-03-31,S12000039,All Adults,All Sectors,607,West Dunbartonshire,2017/18
2018-03-31,S12000039,All Adults,Local Authority/Health Board Sectors,168,West Dunbartonshire,2017/18
2018-03-31,S12000039,All Adults,Private Sector,433,West Dunbartonshire,2017/18
2018-03-31,S12000039,All Adults,Voluntary or Not for Profit Sector,6,West Dunbartonshire,2017/18
2018-03-31,S12000040,All Adults,All Sectors,972,West Lothian,2017/18
2018-03-31,S12000040,All Adults,Local Authority/Health Board Sectors,157,West Lothian,2017/18
2018-03-31,S12000040,All Adults,Private Sector,726,West Lothian,2017/18
2018-03-31,S12000040,All Adults,Voluntary or Not for Profit Sector,89,West Lothian,2017/18
2018-03-31,S12000041,All Adults,All Sectors,1120,Angus,2017/18
2018-03-31,S12000041,All Adults,Local Authority/Health Board Sectors,99,Angus,2017/18
2018-03-31,S12000041,All Adults,Private Sector,981,Angus,2017/18
2018-03-31,S12000041,All Adults,Voluntary or Not for Profit Sector,40,Angus,2017/18
2018-03-31,S12000042,All Adults,All Sectors,1184,Dundee City,2017/18
2018-03-31,S12000042,All Adults,Local Authority/Health Board Sectors,125,Dundee City,2017/18
2018-03-31,S12000042,All Adults,Private Sector,1008,Dundee City,2017/18
2018-03-31,S12000042,All Adults,Voluntary or Not for Profit Sector,51,Dundee City,2017/18
2018-03-31,S12000045,All Adults,All Sectors,991,East Dunbartonshire,2017/18
2018-03-31,S12000045,All Adults,Local Authority/Health Board Sectors,11,East Dunbartonshire,2017/18
2018-03-31,S12000045,All Adults,Private Sector,968,East Dunbartonshire,2017/18
2018-03-31,S12000045,All Adults,Voluntary or Not for Profit Sector,12,East Dunbartonshire,2017/18
2018-03-31,S12000047,All Adults,All Sectors,3086,Fife,2017/18
2018-03-31,S12000047,All Adults,Local Authority/Health Board Sectors,352,Fife,2017/18
2018-03-31,S12000047,All Adults,Private Sector,2583,Fife,2017/18
2018-03-31,S12000047,All Adults,Voluntary or Not for Profit Sector,151,Fife,2017/18
2018-03-31,S12000048,All Adults,All Sectors,1527,Perth and Kinross,2017/18
2018-03-31,S12000048,All Adults,Local Authority/Health Board Sectors,84,Perth and Kinross,2017/18
2018-03-31,S12000048,All Adults,Private Sector,1188,Perth and Kinross,2017/18
2018-03-31,S12000048,All Adults,Voluntary or Not for Profit Sector,255,Perth and Kinross,2017/18
2018-03-31,S12000049,All Adults,All Sectors,4669,Glasgow City,2017/18
2018-03-31,S12000049,All Adults,Local Authority/Health Board Sectors,577,Glasgow City,2017/18
2018-03-31,S12000049,All Adults,Private Sector,3287,Glasgow City,2017/18
2018-03-31,S12000049,All Adults,Voluntary or Not for Profit Sector,805,Glasgow City,2017/18
2018-03-31,S12000050,All Adults,All Sectors,1885,North Lanarkshire,2017/18
2018-03-31,S12000050,All Adults,Local Authority/Health Board Sectors,42,North Lanarkshire,2017/18
2018-03-31,S12000050,All Adults,Private Sector,1798,North Lanarkshire,2017/18
2018-03-31,S12000050,All Adults,Voluntary or Not for Profit Sector,45,North Lanarkshire,2017/18
2018-03-31,S92000003,All Adults,All Sectors,41007,Scotland,2017/18
2018-03-31,S92000003,All Adults,Local Authority/Health Board Sectors,4211,Scotland,2017/18
2018-03-31,S92000003,All Adults,Private Sector,31597,Scotland,2017/18
2018-03-31,S92000003,All Adults,Voluntary or Not for Profit Sector,5199,Scotland,2017/18
2018-03-31,S12000005,Learning Disabilities,All Sectors,75,Clackmannanshire,2017/18
2018-03-31,S12000006,Learning Disabilities,All Sectors,26,Dumfries and Galloway,2017/18
2018-03-31,S12000008,Learning Disabilities,All Sectors,40,East Ayrshire,2017/18
2018-03-31,S12000010,Learning Disabilities,All Sectors,7,East Lothian,2017/18
2018-03-31,S12000011,Learning Disabilities,All Sectors,10,East Renfrewshire,2017/18
2018-03-31,S12000013,Learning Disabilities,All Sectors,12,Na h-Eileanan Siar,2017/18
2018-03-31,S12000014,Learning Disabilities,All Sectors,116,Falkirk,2017/18
2018-03-31,S12000017,Learning Disabilities,All Sectors,101,Highland,2017/18
2018-03-31,S12000018,Learning Disabilities,All Sectors,34,Inverclyde,2017/18
2018-03-31,S12000019,Learning Disabilities,All Sectors,18,Midlothian,2017/18
2018-03-31,S12000020,Learning Disabilities,All Sectors,23,Moray,2017/18
2018-03-31,S12000021,Learning Disabilities,All Sectors,90,North Ayrshire,2017/18
2018-03-31,S12000023,Learning Disabilities,All Sectors,8,Orkney Islands,2017/18
2018-03-31,S12000026,Learning Disabilities,All Sectors,51,Scottish Borders,2017/18
2018-03-31,S12000027,Learning Disabilities,All Sectors,9,Shetland Islands,2017/18
2018-03-31,S12000028,Learning Disabilities,All Sectors,91,South Ayrshire,2017/18
2018-03-31,S12000029,Learning Disabilities,All Sectors,93,South Lanarkshire,2017/18
2018-03-31,S12000030,Learning Disabilities,All Sectors,77,Stirling,2017/18
2018-03-31,S12000033,Learning Disabilities,All Sectors,94,Aberdeen City,2017/18
2018-03-31,S12000034,Learning Disabilities,All Sectors,149,Aberdeenshire,2017/18
2018-03-31,S12000035,Learning Disabilities,All Sectors,6,Argyll and Bute,2017/18
2018-03-31,S12000036,Learning Disabilities,All Sectors,73,City of Edinburgh,2017/18
2018-03-31,S12000038,Learning Disabilities,All Sectors,27,Renfrewshire,2017/18
2018-03-31,S12000039,Learning Disabilities,All Sectors,6,West Dunbartonshire,2017/18
2018-03-31,S12000040,Learning Disabilities,All Sectors,68,West Lothian,2017/18
2018-03-31,S12000041,Learning Disabilities,All Sectors,42,Angus,2017/18
2018-03-31,S12000042,Learning Disabilities,All Sectors,28,Dundee City,2017/18
2018-03-31,S12000045,Learning Disabilities,All Sectors,21,East Dunbartonshire,2017/18
2018-03-31,S12000047,Learning Disabilities,All Sectors,62,Fife,2017/18
2018-03-31,S12000048,Learning Disabilities,All Sectors,103,Perth and Kinross,2017/18
2018-03-31,S12000049,Learning Disabilities,All Sectors,75,Glasgow City,2017/18
2018-03-31,S12000050,Learning Disabilities,All Sectors,19,North Lanarkshire,2017/18
2018-03-31,S92000003,Learning Disabilities,All Sectors,1654,Scotland,2017/18
2018-03-31,S92000003,Learning Disabilities,Local Authority/Health Board Sectors,163,Scotland,2017/18
2018-03-31,S92000003,Learning Disabilities,Private Sector,673,Scotland,2017/18
2018-03-31,S92000003,Learning Disabilities,Voluntary or Not for Profit Sector,818,Scotland,2017/18
2018-03-31,S12000005,Mental Health Problems,All Sectors,27,Clackmannanshire,2017/18
2018-03-31,S12000006,Mental Health Problems,All Sectors,76,Dumfries and Galloway,2017/18
2018-03-31,S12000008,Mental Health Problems,All Sectors,24,East Ayrshire,2017/18
2018-03-31,S12000010,Mental Health Problems,All Sectors,0,East Lothian,2017/18
2018-03-31,S12000011,Mental Health Problems,All Sectors,0,East Renfrewshire,2017/18
