financial_year,council_area,sector,main_client_group,number_of_places
2015/16,East Ayrshire,All Sectors,Mental Health Problems,24
2015/16,East Ayrshire,All Sectors,Older People Aged 65 and Older,912
2015/16,East Ayrshire,All Sectors,Other Groups,0
2015/16,East Ayrshire,All Sectors,Physical and Sensory Impairment,10
2015/16,East Ayrshire,Local Authority/Health Board Sectors,All Adults,2
2015/16,East Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,2
2015/16,East Ayrshire,Private Sector,All Adults,992
2015/16,East Ayrshire,Private Sector,Older People Aged 65 and Older,910
2015/16,East Ayrshire,Voluntary or Not for Profit Sector,All Adults,0
2015/16,East Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2015/16,East Dunbartonshire,All Sectors,All Adults,851
2015/16,East Dunbartonshire,All Sectors,Learning Disabilities,21
2015/16,East Dunbartonshire,All Sectors,Mental Health Problems,68
2015/16,East Dunbartonshire,All Sectors,Older People Aged 65 and Older,740
2015/16,East Dunbartonshire,All Sectors,Other Groups,0
2015/16,East Dunbartonshire,All Sectors,Physical and Sensory Impairment,22
2015/16,East Dunbartonshire,Local Authority/Health Board Sectors,All Adults,11
2015/16,East Dunbartonshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2015/16,East Dunbartonshire,Private Sector,All Adults,828
2015/16,East Dunbartonshire,Private Sector,Older People Aged 65 and Older,738
2015/16,East Dunbartonshire,Voluntary or Not for Profit Sector,All Adults,12
2015/16,East Dunbartonshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,2
2015/16,East Lothian,All Sectors,All Adults,648
2015/16,East Lothian,All Sectors,Learning Disabilities,7
2015/16,East Lothian,All Sectors,Mental Health Problems,0
2015/16,East Lothian,All Sectors,Older People Aged 65 and Older,618
2015/16,East Lothian,All Sectors,Other Groups,0
2015/16,East Lothian,All Sectors,Physical and Sensory Impairment,23
2015/16,East Lothian,Local Authority/Health Board Sectors,All Adults,123
2015/16,East Lothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,123
2015/16,East Lothian,Private Sector,All Adults,465
2015/16,East Lothian,Private Sector,Older People Aged 65 and Older,458
2015/16,East Lothian,Voluntary or Not for Profit Sector,All Adults,60
2015/16,East Lothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,37
2015/16,East Renfrewshire,All Sectors,All Adults,776
2015/16,East Renfrewshire,All Sectors,Learning Disabilities,10
2015/16,East Renfrewshire,All Sectors,Mental Health Problems,0
2015/16,East Renfrewshire,All Sectors,Older People Aged 65 and Older,766
2015/16,East Renfrewshire,All Sectors,Other Groups,0
2015/16,East Renfrewshire,All Sectors,Physical and Sensory Impairment,0
2015/16,East Renfrewshire,Local Authority/Health Board Sectors,All Adults,34
2015/16,East Renfrewshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,34
2015/16,East Renfrewshire,Private Sector,All Adults,540
2015/16,East Renfrewshire,Private Sector,Older People Aged 65 and Older,540
2015/16,East Renfrewshire,Voluntary or Not for Profit Sector,All Adults,202
2015/16,East Renfrewshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,192
2015/16,Falkirk,All Sectors,All Adults,1122
2015/16,Falkirk,All Sectors,Learning Disabilities,118
2015/16,Falkirk,All Sectors,Mental Health Problems,23
2015/16,Falkirk,All Sectors,Older People Aged 65 and Older,981
2015/16,Falkirk,All Sectors,Other Groups,0
2015/16,Falkirk,All Sectors,Physical and Sensory Impairment,0
2015/16,Falkirk,Local Authority/Health Board Sectors,All Adults,184
2015/16,Falkirk,Local Authority/Health Board Sectors,Older People Aged 65 and Older,168
2015/16,Falkirk,Private Sector,All Adults,857
2015/16,Falkirk,Private Sector,Older People Aged 65 and Older,753
2015/16,Falkirk,Voluntary or Not for Profit Sector,All Adults,81
2015/16,Falkirk,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,60
2015/16,Fife,All Sectors,All Adults,3128
2015/16,Fife,All Sectors,Learning Disabilities,64
2015/16,Fife,All Sectors,Mental Health Problems,32
2015/16,Fife,All Sectors,Older People Aged 65 and Older,3007
2015/16,Fife,All Sectors,Other Groups,0
2015/16,Fife,All Sectors,Physical and Sensory Impairment,25
2015/16,Fife,Local Authority/Health Board Sectors,All Adults,363
2015/16,Fife,Local Authority/Health Board Sectors,Older People Aged 65 and Older,349
2015/16,Fife,Private Sector,All Adults,2644
2015/16,Fife,Private Sector,Older People Aged 65 and Older,2565
2015/16,Fife,Voluntary or Not for Profit Sector,All Adults,121
2015/16,Fife,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,93
2015/16,Glasgow City,All Sectors,All Adults,4859
2015/16,Glasgow City,All Sectors,Learning Disabilities,60
2015/16,Glasgow City,All Sectors,Mental Health Problems,263
2015/16,Glasgow City,All Sectors,Older People Aged 65 and Older,4297
2015/16,Glasgow City,All Sectors,Other Groups,170
2015/16,Glasgow City,All Sectors,Physical and Sensory Impairment,69
2015/16,Glasgow City,Local Authority/Health Board Sectors,All Adults,623
2015/16,Glasgow City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,623
2015/16,Glasgow City,Private Sector,All Adults,3367
2015/16,Glasgow City,Private Sector,Older People Aged 65 and Older,3281
2015/16,Glasgow City,Voluntary or Not for Profit Sector,All Adults,869
2015/16,Glasgow City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,393
2015/16,Highland,All Sectors,All Adults,2037
2015/16,Highland,All Sectors,Learning Disabilities,94
2015/16,Highland,All Sectors,Mental Health Problems,89
2015/16,Highland,All Sectors,Older People Aged 65 and Older,1780
2015/16,Highland,All Sectors,Other Groups,15
2015/16,Highland,All Sectors,Physical and Sensory Impairment,59
2015/16,Highland,Local Authority/Health Board Sectors,All Adults,225
2015/16,Highland,Local Authority/Health Board Sectors,Older People Aged 65 and Older,213
2015/16,Highland,Private Sector,All Adults,1536
2015/16,Highland,Private Sector,Older People Aged 65 and Older,1354
2015/16,Highland,Voluntary or Not for Profit Sector,All Adults,276
2015/16,Highland,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,213
2015/16,Inverclyde,All Sectors,All Adults,874
2015/16,Inverclyde,All Sectors,Learning Disabilities,45
2015/16,Inverclyde,All Sectors,Mental Health Problems,9
2015/16,Inverclyde,All Sectors,Older People Aged 65 and Older,759
2015/16,Inverclyde,All Sectors,Other Groups,0
2015/16,Inverclyde,All Sectors,Physical and Sensory Impairment,61
2015/16,Inverclyde,Local Authority/Health Board Sectors,All Adults,4
2015/16,Inverclyde,Local Authority/Health Board Sectors,Older People Aged 65 and Older,4
2015/16,Inverclyde,Private Sector,All Adults,560
2015/16,Inverclyde,Private Sector,Older People Aged 65 and Older,560
2015/16,Inverclyde,Voluntary or Not for Profit Sector,All Adults,310
2015/16,Inverclyde,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,195
2015/16,Midlothian,All Sectors,All Adults,589
2015/16,Midlothian,All Sectors,Learning Disabilities,31
2015/16,Midlothian,All Sectors,Mental Health Problems,0
2015/16,Midlothian,All Sectors,Older People Aged 65 and Older,558
2015/16,Midlothian,All Sectors,Other Groups,0
2015/16,Midlothian,All Sectors,Physical and Sensory Impairment,0
2015/16,Midlothian,Local Authority/Health Board Sectors,All Adults,102
2015/16,Midlothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,102
2015/16,Midlothian,Private Sector,All Adults,416
2015/16,Midlothian,Private Sector,Older People Aged 65 and Older,408
2015/16,Midlothian,Voluntary or Not for Profit Sector,All Adults,71
2015/16,Midlothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,48
2015/16,Moray,All Sectors,All Adults,634
2015/16,Moray,All Sectors,Learning Disabilities,31
2015/16,Moray,All Sectors,Mental Health Problems,5
2015/16,Moray,All Sectors,Older People Aged 65 and Older,594
2015/16,Moray,All Sectors,Other Groups,0
2015/16,Moray,All Sectors,Physical and Sensory Impairment,4
2015/16,Moray,Local Authority/Health Board Sectors,All Adults,13
2015/16,Moray,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2015/16,Moray,Private Sector,All Adults,541
2015/16,Moray,Private Sector,Older People Aged 65 and Older,541
2015/16,Moray,Voluntary or Not for Profit Sector,All Adults,80
2015/16,Moray,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,53
2015/16,Na h-Eileanan Siar,All Sectors,All Adults,227
2015/16,Na h-Eileanan Siar,All Sectors,Learning Disabilities,11
2015/16,Na h-Eileanan Siar,All Sectors,Mental Health Problems,0
2015/16,Na h-Eileanan Siar,All Sectors,Older People Aged 65 and Older,216
2015/16,Na h-Eileanan Siar,All Sectors,Other Groups,0
2015/16,Na h-Eileanan Siar,All Sectors,Physical and Sensory Impairment,0
2015/16,Na h-Eileanan Siar,Local Authority/Health Board Sectors,All Adults,138
2015/16,Na h-Eileanan Siar,Local Authority/Health Board Sectors,Older People Aged 65 and Older,127
2015/16,Na h-Eileanan Siar,Private Sector,All Adults,40
2015/16,Na h-Eileanan Siar,Private Sector,Older People Aged 65 and Older,40
2015/16,Na h-Eileanan Siar,Voluntary or Not for Profit Sector,All Adults,49
2015/16,Na h-Eileanan Siar,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,49
2015/16,North Ayrshire,All Sectors,All Adults,1211
2015/16,North Ayrshire,All Sectors,Learning Disabilities,90
2015/16,North Ayrshire,All Sectors,Mental Health Problems,8
2015/16,North Ayrshire,All Sectors,Older People Aged 65 and Older,1077
2015/16,North Ayrshire,All Sectors,Other Groups,0
2015/16,North Ayrshire,All Sectors,Physical and Sensory Impairment,36
2015/16,North Ayrshire,Local Authority/Health Board Sectors,All Adults,34
2015/16,North Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,34
2015/16,North Ayrshire,Private Sector,All Adults,1047
2015/16,North Ayrshire,Private Sector,Older People Aged 65 and Older,975
2015/16,North Ayrshire,Voluntary or Not for Profit Sector,All Adults,130
2015/16,North Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,68
2015/16,North Lanarkshire,All Sectors,All Adults,1961
2015/16,North Lanarkshire,All Sectors,Learning Disabilities,19
2015/16,North Lanarkshire,All Sectors,Mental Health Problems,80
2015/16,North Lanarkshire,All Sectors,Older People Aged 65 and Older,1794
2015/16,North Lanarkshire,All Sectors,Other Groups,42
2015/16,North Lanarkshire,All Sectors,Physical and Sensory Impairment,26
2015/16,North Lanarkshire,Local Authority/Health Board Sectors,All Adults,122
2015/16,North Lanarkshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,122
2015/16,North Lanarkshire,Private Sector,All Adults,1794
2015/16,North Lanarkshire,Private Sector,Older People Aged 65 and Older,1632
2015/16,North Lanarkshire,Voluntary or Not for Profit Sector,All Adults,45
2015/16,North Lanarkshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,40
2015/16,Orkney Islands,All Sectors,All Adults,120
2015/16,Orkney Islands,All Sectors,Learning Disabilities,8
2015/16,Orkney Islands,All Sectors,Mental Health Problems,0
2015/16,Orkney Islands,All Sectors,Older People Aged 65 and Older,111
2015/16,Orkney Islands,All Sectors,Other Groups,0
2015/16,Orkney Islands,All Sectors,Physical and Sensory Impairment,1
2015/16,Orkney Islands,Local Authority/Health Board Sectors,All Adults,116
2015/16,Orkney Islands,Local Authority/Health Board Sectors,Older People Aged 65 and Older,111
2015/16,Orkney Islands,Private Sector,All Adults,0
2015/16,Orkney Islands,Private Sector,Older People Aged 65 and Older,0
2015/16,Orkney Islands,Voluntary or Not for Profit Sector,All Adults,4
2015/16,Orkney Islands,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2015/16,Perth and Kinross,All Sectors,All Adults,1638
2015/16,Perth and Kinross,All Sectors,Learning Disabilities,119
2015/16,Perth and Kinross,All Sectors,Mental Health Problems,0
2015/16,Perth and Kinross,All Sectors,Older People Aged 65 and Older,1458
2015/16,Perth and Kinross,All Sectors,Other Groups,0
2015/16,Perth and Kinross,All Sectors,Physical and Sensory Impairment,61
2015/16,Perth and Kinross,Local Authority/Health Board Sectors,All Adults,84
2015/16,Perth and Kinross,Local Authority/Health Board Sectors,Older People Aged 65 and Older,84
2015/16,Perth and Kinross,Private Sector,All Adults,1278
2015/16,Perth and Kinross,Private Sector,Older People Aged 65 and Older,1207
2015/16,Perth and Kinross,Voluntary or Not for Profit Sector,All Adults,276
2015/16,Perth and Kinross,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,167
2015/16,Renfrewshire,All Sectors,All Adults,1419
2015/16,Renfrewshire,All Sectors,Learning Disabilities,27
2015/16,Renfrewshire,All Sectors,Mental Health Problems,0
2015/16,Renfrewshire,All Sectors,Older People Aged 65 and Older,1372
2015/16,Renfrewshire,All Sectors,Other Groups,0
2015/16,Renfrewshire,All Sectors,Physical and Sensory Impairment,20
2015/16,Renfrewshire,Local Authority/Health Board Sectors,All Adults,190
2015/16,Renfrewshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,180
2015/16,Renfrewshire,Private Sector,All Adults,950
2015/16,Renfrewshire,Private Sector,Older People Aged 65 and Older,942
2015/16,Renfrewshire,Voluntary or Not for Profit Sector,All Adults,279
2015/16,Renfrewshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,250
2015/16,Scotland,All Sectors,All Adults,41461
2015/16,Scotland,All Sectors,Learning Disabilities,1786
2015/16,Scotland,All Sectors,Mental Health Problems,1031
2015/16,Scotland,All Sectors,Older People Aged 65 and Older,37746
2015/16,Scotland,All Sectors,Other Groups,305
2015/16,Scotland,All Sectors,Physical and Sensory Impairment,593
2015/16,Scotland,Local Authority/Health Board Sectors,All Adults,4502
2015/16,Scotland,Local Authority/Health Board Sectors,Learning Disabilities,182
2015/16,Scotland,Local Authority/Health Board Sectors,Mental Health Problems,0
2015/16,Scotland,Local Authority/Health Board Sectors,Older People Aged 65 and Older,4305
2015/16,Scotland,Local Authority/Health Board Sectors,Other Groups,0
2015/16,Scotland,Local Authority/Health Board Sectors,Physical and Sensory Impairment,15
2015/16,Scotland,Private Sector,All Adults,31583
2015/16,Scotland,Private Sector,Learning Disabilities,733
2015/16,Scotland,Private Sector,Mental Health Problems,644
2015/16,Scotland,Private Sector,Older People Aged 65 and Older,30017
2015/16,Scotland,Private Sector,Other Groups,52
2015/16,Scotland,Private Sector,Physical and Sensory Impairment,137
2015/16,Scotland,Voluntary or Not for Profit Sector,All Adults,5376
2015/16,Scotland,Voluntary or Not for Profit Sector,Learning Disabilities,871
2015/16,Scotland,Voluntary or Not for Profit Sector,Mental Health Problems,387
2015/16,Scotland,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,3424
2015/16,Scotland,Voluntary or Not for Profit Sector,Other Groups,253
2015/16,Scotland,Voluntary or Not for Profit Sector,Physical and Sensory Impairment,441
2015/16,Scottish Borders,All Sectors,All Adults,750
2015/16,Scottish Borders,All Sectors,Learning Disabilities,51
2015/16,Scottish Borders,All Sectors,Mental Health Problems,0
2015/16,Scottish Borders,All Sectors,Older People Aged 65 and Older,699
2015/16,Scottish Borders,All Sectors,Other Groups,0
2015/16,Scottish Borders,All Sectors,Physical and Sensory Impairment,0
2015/16,Scottish Borders,Local Authority/Health Board Sectors,All Adults,0
2015/16,Scottish Borders,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2015/16,Scottish Borders,Private Sector,All Adults,676
2015/16,Scottish Borders,Private Sector,Older People Aged 65 and Older,676
2015/16,Scottish Borders,Voluntary or Not for Profit Sector,All Adults,74
2015/16,Scottish Borders,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,23
2015/16,Shetland Islands,All Sectors,All Adults,158
2015/16,Shetland Islands,All Sectors,Learning Disabilities,9
2015/16,Shetland Islands,All Sectors,Mental Health Problems,0
2015/16,Shetland Islands,All Sectors,Older People Aged 65 and Older,149
2015/16,Shetland Islands,All Sectors,Other Groups,0
2015/16,Shetland Islands,All Sectors,Physical and Sensory Impairment,0
2015/16,Shetland Islands,Local Authority/Health Board Sectors,All Adults,142
2015/16,Shetland Islands,Local Authority/Health Board Sectors,Older People Aged 65 and Older,133
2015/16,Shetland Islands,Private Sector,All Adults,0
2015/16,Shetland Islands,Private Sector,Older People Aged 65 and Older,0
2015/16,Shetland Islands,Voluntary or Not for Profit Sector,All Adults,16
2015/16,Shetland Islands,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,16
2015/16,South Ayrshire,All Sectors,All Adults,1216
2015/16,South Ayrshire,All Sectors,Learning Disabilities,90
2015/16,South Ayrshire,All Sectors,Mental Health Problems,0
2015/16,South Ayrshire,All Sectors,Older People Aged 65 and Older,1126
2015/16,South Ayrshire,All Sectors,Other Groups,0
2015/16,South Ayrshire,All Sectors,Physical and Sensory Impairment,0
2015/16,South Ayrshire,Local Authority/Health Board Sectors,All Adults,58
2015/16,South Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,54
2015/16,South Ayrshire,Private Sector,All Adults,1001
2015/16,South Ayrshire,Private Sector,Older People Aged 65 and Older,977
2015/16,South Ayrshire,Voluntary or Not for Profit Sector,All Adults,157
2015/16,South Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,95
2015/16,South Lanarkshire,All Sectors,All Adults,2614
2015/16,South Lanarkshire,All Sectors,Learning Disabilities,129
2015/16,South Lanarkshire,All Sectors,Mental Health Problems,46
2015/16,South Lanarkshire,All Sectors,Older People Aged 65 and Older,2419
2015/16,South Lanarkshire,All Sectors,Other Groups,0
2015/16,South Lanarkshire,All Sectors,Physical and Sensory Impairment,20
2015/16,South Lanarkshire,Local Authority/Health Board Sectors,All Adults,273
2015/16,South Lanarkshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,273
2015/16,South Lanarkshire,Private Sector,All Adults,2030
2015/16,South Lanarkshire,Private Sector,Older People Aged 65 and Older,1929
2015/16,South Lanarkshire,Voluntary or Not for Profit Sector,All Adults,311
2015/16,South Lanarkshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,217
2015/16,Stirling,All Sectors,All Adults,682
2015/16,Stirling,All Sectors,Learning Disabilities,76
2015/16,Stirling,All Sectors,Mental Health Problems,91
2015/16,Stirling,All Sectors,Older People Aged 65 and Older,498
2015/16,Stirling,All Sectors,Other Groups,0
2015/16,Stirling,All Sectors,Physical and Sensory Impairment,17
2015/16,Stirling,Local Authority/Health Board Sectors,All Adults,47
2015/16,Stirling,Local Authority/Health Board Sectors,Older People Aged 65 and Older,47
2015/16,Stirling,Private Sector,All Adults,506
2015/16,Stirling,Private Sector,Older People Aged 65 and Older,404
2015/16,Stirling,Voluntary or Not for Profit Sector,All Adults,129
2015/16,Stirling,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,47
2015/16,West Dunbartonshire,All Sectors,All Adults,634
2015/16,West Dunbartonshire,All Sectors,Learning Disabilities,6
2015/16,West Dunbartonshire,All Sectors,Mental Health Problems,0
2015/16,West Dunbartonshire,All Sectors,Older People Aged 65 and Older,628
2015/16,West Dunbartonshire,All Sectors,Other Groups,0
2015/16,West Dunbartonshire,All Sectors,Physical and Sensory Impairment,0
2015/16,West Dunbartonshire,Local Authority/Health Board Sectors,All Adults,195
2015/16,West Dunbartonshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,195
2015/16,West Dunbartonshire,Private Sector,All Adults,433
2015/16,West Dunbartonshire,Private Sector,Older People Aged 65 and Older,433
2015/16,West Dunbartonshire,Voluntary or Not for Profit Sector,All Adults,6
2015/16,West Dunbartonshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2015/16,West Lothian,All Sectors,All Adults,988
2015/16,West Lothian,All Sectors,Learning Disabilities,76
2015/16,West Lothian,All Sectors,Mental Health Problems,0
2015/16,West Lothian,All Sectors,Older People Aged 65 and Older,892
2015/16,West Lothian,All Sectors,Other Groups,0
2015/16,West Lothian,All Sectors,Physical and Sensory Impairment,20
2015/16,West Lothian,Local Authority/Health Board Sectors,All Adults,157
2015/16,West Lothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,141
2015/16,West Lothian,Private Sector,All Adults,730
2015/16,West Lothian,Private Sector,Older People Aged 65 and Older,725
2015/16,West Lothian,Voluntary or Not for Profit Sector,All Adults,101
2015/16,West Lothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,26
2016/17,Aberdeen City,All Sectors,All Adults,1725
2016/17,Aberdeen City,All Sectors,Learning Disabilities,94
2016/17,Aberdeen City,All Sectors,Mental Health Problems,82
2016/17,Aberdeen City,All Sectors,Older People Aged 65 and Older,1440
2016/17,Aberdeen City,All Sectors,Other Groups,48
2016/17,Aberdeen City,All Sectors,Physical and Sensory Impairment,61
2016/17,Aberdeen City,Local Authority/Health Board Sectors,All Adults,0
2016/17,Aberdeen City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2016/17,Aberdeen City,Private Sector,All Adults,1332
2016/17,Aberdeen City,Private Sector,Older People Aged 65 and Older,1299
2016/17,Aberdeen City,Voluntary or Not for Profit Sector,All Adults,393
2016/17,Aberdeen City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,141
2016/17,Aberdeenshire,All Sectors,All Adults,1983
2016/17,Aberdeenshire,All Sectors,Learning Disabilities,149
2016/17,Aberdeenshire,All Sectors,Mental Health Problems,44
2016/17,Aberdeenshire,All Sectors,Older People Aged 65 and Older,1790
2016/17,Aberdeenshire,All Sectors,Other Groups,0
2016/17,Aberdeenshire,All Sectors,Physical and Sensory Impairment,0
2016/17,Aberdeenshire,Local Authority/Health Board Sectors,All Adults,329
2016/17,Aberdeenshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,308
2016/17,Aberdeenshire,Private Sector,All Adults,1411
2016/17,Aberdeenshire,Private Sector,Older People Aged 65 and Older,1353
2016/17,Aberdeenshire,Voluntary or Not for Profit Sector,All Adults,243
2016/17,Aberdeenshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,129
2016/17,Angus,All Sectors,All Adults,1120
2016/17,Angus,All Sectors,Learning Disabilities,41
2016/17,Angus,All Sectors,Mental Health Problems,0
2016/17,Angus,All Sectors,Older People Aged 65 and Older,1079
2016/17,Angus,All Sectors,Other Groups,0
2016/17,Angus,All Sectors,Physical and Sensory Impairment,0
2016/17,Angus,Local Authority/Health Board Sectors,All Adults,99
2016/17,Angus,Local Authority/Health Board Sectors,Older People Aged 65 and Older,82
2016/17,Angus,Private Sector,All Adults,981
2016/17,Angus,Private Sector,Older People Aged 65 and Older,957
2016/17,Angus,Voluntary or Not for Profit Sector,All Adults,40
2016/17,Angus,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,40
2016/17,Argyll and Bute,All Sectors,All Adults,584
2016/17,Argyll and Bute,All Sectors,Learning Disabilities,8
2016/17,Argyll and Bute,All Sectors,Mental Health Problems,0
2016/17,Argyll and Bute,All Sectors,Older People Aged 65 and Older,576
2016/17,Argyll and Bute,All Sectors,Other Groups,0
2016/17,Argyll and Bute,All Sectors,Physical and Sensory Impairment,0
2016/17,Argyll and Bute,Local Authority/Health Board Sectors,All Adults,89
2016/17,Argyll and Bute,Local Authority/Health Board Sectors,Older People Aged 65 and Older,89
2016/17,Argyll and Bute,Private Sector,All Adults,441
2016/17,Argyll and Bute,Private Sector,Older People Aged 65 and Older,435
2016/17,Argyll and Bute,Voluntary or Not for Profit Sector,All Adults,54
2016/17,Argyll and Bute,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,52
2016/17,City of Edinburgh,All Sectors,All Adults,2975
2016/17,City of Edinburgh,All Sectors,Learning Disabilities,69
2016/17,City of Edinburgh,All Sectors,Mental Health Problems,15
2016/17,City of Edinburgh,All Sectors,Older People Aged 65 and Older,2824
2016/17,City of Edinburgh,All Sectors,Other Groups,20
2016/17,City of Edinburgh,All Sectors,Physical and Sensory Impairment,47
2016/17,City of Edinburgh,Local Authority/Health Board Sectors,All Adults,510
2016/17,City of Edinburgh,Local Authority/Health Board Sectors,Older People Aged 65 and Older,488
2016/17,City of Edinburgh,Private Sector,All Adults,1905
2016/17,City of Edinburgh,Private Sector,Older People Aged 65 and Older,1879
2016/17,City of Edinburgh,Voluntary or Not for Profit Sector,All Adults,560
2016/17,City of Edinburgh,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,457
2016/17,Clackmannanshire,All Sectors,All Adults,383
2016/17,Clackmannanshire,All Sectors,Learning Disabilities,74
2016/17,Clackmannanshire,All Sectors,Mental Health Problems,27
2016/17,Clackmannanshire,All Sectors,Older People Aged 65 and Older,282
2016/17,Clackmannanshire,All Sectors,Other Groups,0
2016/17,Clackmannanshire,All Sectors,Physical and Sensory Impairment,0
2016/17,Clackmannanshire,Local Authority/Health Board Sectors,All Adults,52
2016/17,Clackmannanshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,52
2016/17,Clackmannanshire,Private Sector,All Adults,279
2016/17,Clackmannanshire,Private Sector,Older People Aged 65 and Older,230
2016/17,Clackmannanshire,Voluntary or Not for Profit Sector,All Adults,52
2016/17,Clackmannanshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2016/17,Dumfries and Galloway,All Sectors,All Adults,1188
2016/17,Dumfries and Galloway,All Sectors,Learning Disabilities,26
2016/17,Dumfries and Galloway,All Sectors,Mental Health Problems,76
2016/17,Dumfries and Galloway,All Sectors,Older People Aged 65 and Older,1081
2016/17,Dumfries and Galloway,All Sectors,Other Groups,0
2016/17,Dumfries and Galloway,All Sectors,Physical and Sensory Impairment,5
2016/17,Dumfries and Galloway,Local Authority/Health Board Sectors,All Adults,3
2016/17,Dumfries and Galloway,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2016/17,Dumfries and Galloway,Private Sector,All Adults,928
2016/17,Dumfries and Galloway,Private Sector,Older People Aged 65 and Older,840
2016/17,Dumfries and Galloway,Voluntary or Not for Profit Sector,All Adults,257
2016/17,Dumfries and Galloway,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,241
2016/17,Dundee City,All Sectors,All Adults,1257
2016/17,Dundee City,All Sectors,Learning Disabilities,50
2016/17,Dundee City,All Sectors,Mental Health Problems,49
2016/17,Dundee City,All Sectors,Older People Aged 65 and Older,1148
2016/17,Dundee City,All Sectors,Other Groups,0
2016/17,Dundee City,All Sectors,Physical and Sensory Impairment,10
2016/17,Dundee City,Local Authority/Health Board Sectors,All Adults,145
2016/17,Dundee City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,132
2016/17,Dundee City,Private Sector,All Adults,1061
2016/17,Dundee City,Private Sector,Older People Aged 65 and Older,968
2016/17,Dundee City,Voluntary or Not for Profit Sector,All Adults,51
2016/17,Dundee City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,48
2016/17,East Ayrshire,All Sectors,All Adults,994
2016/17,East Ayrshire,All Sectors,Learning Disabilities,48
2016/17,East Ayrshire,All Sectors,Mental Health Problems,24
2016/17,East Ayrshire,All Sectors,Older People Aged 65 and Older,912
2016/17,East Ayrshire,All Sectors,Other Groups,0
2016/17,East Ayrshire,All Sectors,Physical and Sensory Impairment,10
2016/17,East Ayrshire,Local Authority/Health Board Sectors,All Adults,2
2016/17,East Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,2
2016/17,East Ayrshire,Private Sector,All Adults,992
2016/17,East Ayrshire,Private Sector,Older People Aged 65 and Older,910
2016/17,East Ayrshire,Voluntary or Not for Profit Sector,All Adults,0
2016/17,East Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2016/17,East Dunbartonshire,All Sectors,All Adults,851
2016/17,East Dunbartonshire,All Sectors,Learning Disabilities,21
2016/17,East Dunbartonshire,All Sectors,Mental Health Problems,68
2016/17,East Dunbartonshire,All Sectors,Older People Aged 65 and Older,740
2016/17,East Dunbartonshire,All Sectors,Other Groups,0
